name,pct,medPct,relPct,city,BEDS,enrollment
HELDERBERG CHRISTIAN SCHOOL,91.2,0,8.8,EAST BERNE,010201805052,
ELSMERE ES,96.4,1.4,2.2,DELMAR,010306060003,289
GLENMONT ES,100,0,0,GLENMONT,010306060004,339
HAMAGRAEL ES,99.7,0,0,DELMAR,010306060005,351
SLINGERLANDS ES,99,0.2,0.2,DELMAR,010306060006,495
BETHLEHEM CENTRAL MIDDLE SCHOOL,98.7,0.6,0.4,DELMAR,010306060007,1202
BETHLEHEM CENTRAL SCHOOL HIGH SCHOOL,98.7,0.2,0.6,DELMAR,010306060008,1605
EAGLE SCHOOL,99.8,0,0.2,DELMAR,010306060009,421
ST THOMAS THE APOSTLE SCHOOL,99,0,0.5,DELMAR,010306115761,
MT MORIAH ACADEMY,97.1,0,0,GLENMONT,010306809859,
BETHLEHEM CHILDRENS SCHOOL,88.9,5.6,0,SLINGERLANDS,010306999575,
RAVENA SHS,100,0,0,RAVENA,010402060001,587
ALBERTUS W BECKER SCHOOL,100,0,0,SELKIRK,010402060002,470
PIETER B COEYMANS SCHOOL,99.3,0,0,COEYMANS,010402060003,451
RAVENA MS,100,0,0,RAVENA,010402060008,436
ABRAM LANSING SCHOOL,99,0.3,0.3,COHOES,010500010005,388
VAN SCHAICK ISLAND SCHOOL,99.3,0,0,COHOES,010500010006,140
COHOES HS,99.8,0,0,COHOES,010500010007,553
COHOES MS,100,0,0,COHOES,010500010008,424
HARMONY HILL ES,99.5,0,0.3,COHOES,010500010009,397
BOGHT MONTESSORI EDUCATION CENTER LLC,100,0,0,COHOES,010500996017,
ROESSLEVILLE SCHOOL,99.1,0,0.6,ALBANY,010601060003,427
SADDLEWOOD ES,98.7,0,1,ALBANY,010601060005,374
SHAKER RD ES,98.7,1.3,0,ALBANY,010601060006,320
COLONIE CENTRAL HS,99.7,0,0.1,ALBANY,010601060008,1665
FOREST PARK ES,100,0,0,ALBANY,010601060010,315
VEEDER ES,99.1,0,0,ALBANY,010601060011,443
SAND CREEK MS,99.9,0,0.1,ALBANY,010601060012,803
LISHA KILL MS,98.3,0.5,0.2,ALBANY,010601060013,658
CHRISTIAN BROTHERS ACADEMY,98.8,0.5,0.7,ALBANY,010601115674,
HEBREW ACADEMY OF CAPITAL DISTRICT,96.3,0,0,ALBANY,010601216559,
OUR SAVIOUR LUTHERAN SCHOOL,96.9,0,0,ALBANY,010601315801,
ANUR ISLAMIC SCHOOL,91.7,0,4.2,SCHENECTADY,010601629639,
LATHAM CHRISTIAN ACADEMY,94.3,0,3.8,LATHAM,010605858417,
MENANDS SCHOOL,98.8,0.4,0.4,MENANDS,010615020001,259
BLUE CREEK SCHOOL,98.4,0.2,0.4,LATHAM,010623060002,485
BOGHT HILLS SCHOOL,99.8,0,0.2,COHOES,010623060003,451
FORTS FERRY SCHOOL,100,0,0,LATHAM,010623060004,455
LATHAM RIDGE SCHOOL,99.3,0.2,0.5,LATHAM,010623060006,410
LOUDONVILLE SCHOOL,99.7,0,0.3,LOUDONVILLE,010623060007,292
SOUTHGATE SCHOOL,99,0.7,0.2,LOUDONVILLE,010623060008,412
SHAKER JHS,99.2,0.5,0.3,LATHAM,010623060009,880
SHAKER HS,99.8,0.1,0.1,LATHAM,010623060010,1962
ST AMBROSE SCHOOL,100,0,0,LATHAM,010623115655,
ST PIUS X SCHOOL,99.7,0,0.3,LOUDONVILLE,010623115753,
ST GREGORY SCHOOL FOR BOYS,98,0,1,LOUDONVILLE,010623116561,
LOUDONVILLE CHRISTIAN SCHOOL,94.1,0.7,4.1,LOUDONVILLE,010623806562,
ST COLMAN'S EMOTIONAL HANDICAPPED DR,98.7,0,0,WATERVLIET,010623995677,
HEATLY SCHOOL,99.7,0,0,GREEN ISLAND,010701030001,318
ALTAMONT ES,99,0,1,ALTAMONT,010802060001,291
GUILDERLAND ES,99.7,0,0.2,GUILDERLAND,010802060003,576
WESTMERE ES,99.3,0,0,ALBANY,010802060004,445
GUILDERLAND HS,99.6,0.2,0,GUILDERLAND CTR,010802060005,1688
LYNNWOOD ES,99.3,0.2,0.5,SCHENECTADY,010802060007,400
GUILDERLAND MS,99.5,0,0.1,GUILDERLAND,010802060008,1128
PINE BUSH ES,98.3,0,0.5,SCHENECTADY,010802060009,397
ST MADELEINE SOPHIE SCHOOL,100,0,0,SCHENECTADY,010802115707,
VOORHEESVILLE ES,99.4,0,0.2,VOORHEESVILLE,011003060001,496
CLAYTON A. BOUTON HS,99,0.5,0.5,VOORHEESVILLE,011003060002,392
VOORHEESVILLE MIDDLE SCHOOL,99.3,0.3,0.3,VOORHEESVILLE,011003060003,290
WATERVLIET ES,99.1,0,0.3,WATERVLIET,011200010002,695
WATERVLIET JSHS,66.5,0,0,WATERVLIET,011200010010,618
ALBANYSCHOHARIE-SCHENECTADY-SARATOGA BOCES,38.2,0,0,ALBANY,019000000000,
ALFRED ALMOND ES,96.1,0.3,3.1,ALMOND,020101040001,381
ALFRED ALMOND JSHS,95.8,0.7,3.6,ALMOND,020101040002,310
ANDOVER CENTRAL SCHOOL,100,0,0,ANDOVER,020601040001,334
GENESEE VALLEY ELEMENTARY,93.7,0.8,4.4,BELMONT,020702040001,592
GENESEE VALLEY MIDDLE SCHOOL,96.1,1.6,2.3,BELMONT,020702040002,
GENESEE VALLEY CENTRAL HS,97.4,0.5,2,BELMONT,020702040003,
BELFAST SCHOOL,99.1,0.6,0.3,BELFAST,020801040001,369
ECHO VALLEY SCHOOL,0,0,100,BELMONT,020801659053,
VALLEY VIEW SCHOOL,0,0,100,BELMONT,020801659054,
MEADOWBROOK  SCHOOL,0,0,100,BELMONT,020801659055,
HODNETT SCHOOL,0,0,100,BELMONT,020801659056,
PLEASANT VIEW SCHOOL,0,0,100,BELMONT,020801659057,
SUNNY MEADOW SCHOOL,0,0,100,BELMONT,020801659058,
RUSTIC HOLLOW,0,0,100,BELMONT,020801659059,
CARSON RD SCHOOL,0,0,100,BELMONT,020801659060,
PEAVY RD SCHOOL,0,0,100,BELMONT,020801659061,
CANASERAGA SCHOOL,98.6,0,0.9,CANASERAGA,021102040001,235
FRIENDSHIP CENTRAL SCHOOL,99.2,0.5,0,FRIENDSHIP,021601040004,378
WHITECREEK SCHOOL,0,0,100,BELMONT,021601658896,
FILLMORE ES,99,0,1,FILLMORE,022001040001,696
HOUGHTON ACADEMY,93.5,0,0,HOUGHTON,022001807067,
WHITESVILLE CENTRAL SCHOOL,99.2,0,0.4,WHITESVILLE,022101040001,265
CUBARUSHFORD MS HS,99.4,0,0.6,CUBA,022302040001,262
CUBARUSHFORD ELEMENTARY SCHOOL,98.8,0,0.3,CUBA,022302040002,398
SCIO CENTRAL SCHOOL,99.5,0,0,SCIO,022401040003,362
BROOKLYN MS,98.6,1,0.3,WELLSVILLE,022601060002,282
WELLSVILLE SHS,98,0.3,1.5,WELLSVILLE,022601060004,389
WELLSVILLE ES,99.3,0.4,0.4,WELLSVILLE,022601060005,593
IMMACULATE CONCEPTION SCHOOL,97.8,0,2.2,WELLSVILLE,022601136563,
BOLIVARRICHBURG PRIMARY,97.5,0,0.5,RICHBURG,022902040001,420
BOLIVARRICHBURG SECONDARY,98.4,0.8,0,BOLIVAR,022902040002,404
CHARLOTTE KENYON ES,98.7,0,1.3,BINGHAMTON,030101060001,717
JOHN R HARSHAW ES,99.4,0,0,BINGHAMTON,030101060002,
CHENANGO FORKS HS,98.9,0.4,0.7,BINGHAMTON,030101060003,456
CHENANGO FORKS MS,99.5,0.3,0.3,BINGHAMTON,030101060004,381
CENTRAL BAPTIST CHRISTIAN ACAD,92.6,0,2.2,BINGHAMTON,030101859690,
CALVIN COOLIDGE SCHOOL,98.7,0,0,BINGHAMTON,030200010002,328
BENJAMIN FRANKLIN ES,100,0,0,BINGHAMTON,030200010005,543
THOMAS JEFFERSON SCHOOL,98.1,0,0.6,BINGHAMTON,030200010008,325
MAC ARTHUR SCHOOL,98.2,0.2,0.2,BINGHAMTON,030200010011,502
THEODORE ROOSEVELT SCHOOL,99,0.4,0,BINGHAMTON,030200010012,466
WOODROW WILSON SCHOOL,99.6,0,0.2,BINGHAMTON,030200010014,438
EAST MS,98.9,0.3,0.5,BINGHAMTON,030200010015,612
WEST MIDDLE AVE,99.6,0,0.4,BINGHAMTON,030200010016,668
BINGHAMTON HS,97.1,1,0.2,BINGHAMTON,030200010021,1583
HORACE MANN SCHOOL,98.8,0,0,BINGHAMTON,030200010022,320
SETON CATHOLIC CENTRAL HS,100,0,0,BINGHAMTON,030200185471,
ST JOHN SCHOOL,97.8,2.2,0,BINGHAMTON,030200185488,
GREATER BINGHAMTON HEALTH CTR,100,0,0,BINGHAMTON,030200928161,
W A OLMSTED ES,100,0,0,HARPURSVILLE,030501040001,448
HARPURSVILLE JSHS,100,0,0,HARPURSVILLE,030501040003,395
BROOKSIDE ES,99.4,0.6,0,BINGHAMTON,030601060001,372
F P DONNELLY SCHOOL,99.3,0.8,0,CONKLIN,030601060004,271
RICHARD T. STANK MS AT SUSQUEHANNA VALLEY,99.2,0.5,0.3,CONKLIN,030601060005,391
SUSQUEHANNA VALLEY SHS,99.6,0.2,0.2,CONKLIN,030601060006,546
CHENANGO VALLEY JSHS,99.9,0,0.1,BINGHAMTON,030701060001,532
CHENANGO BRIDGE ES,99.7,0,0.3,BINGHAMTON,030701060003,357
PORT DICKINSON ES,97.5,1,0.8,BINGHAMTON,030701060004,618
CHILDRENS UNIT FOR TREATMENT & EVAL,59,18,5.1,BINGHAMTON,030701998080,
CHILDRENS HOME OF WYOMING CONF,100,0,0,BINGHAMTON,030701998858,
HOMER BRINK SCHOOL,98.5,0.9,0.3,ENDWELL,031101060003,680
MAINE MEMORIAL SCHOOL,99.8,0.2,0,MAINE,031101060004,471
MAINE ENDWELL MS,99.4,0,0.6,ENDWELL,031101060005,530
MAINE ENDWELL SHS,99.6,0.1,0.3,ENDWELL,031101060006,757
DEPOSIT ES,99.6,0,0,DEPOSIT,031301040002,310
DEPOSIT JSHS,100,0,0,DEPOSIT,031301040003,245
TR ACADEMY,99.6,0.2,0.2,WHITNEY POINT,031401060002,550
WHITNEY POINT SHS,99.5,0.2,0.2,WHITNEY POINT,031401060004,438
CARYL E ADAMS PRIMARY SCHOOL,98.9,0,0.5,WHITNEY POINT,031401060005,475
CHAS F JOHNSON JR ES,99.3,0,0,ENDICOTT,031501060001,409
GEORGE F.JOHNSON ES,98.7,1.1,0.2,ENDICOTT,031501060002,611
JENNIE F SNAPP MS,99.7,0,0.2,ENDICOTT,031501060009,889
UNION ENDICOTT SHS,99.2,0.2,0.2,ENDICOTT,031501060012,1202
THOMAS J WATSON SR ES,99.1,0,0.3,ENDICOTT,031501060013,306
ANN G MCGUINNESS INTRMD SCH,99.7,0.3,0,ENDICOTT,031501060014,375
SETON CATHOLIC AT ALL SAINTS,98.7,0,0.6,ENDICOTT,031501187966,
JOHNSON CITY ELEMENTARY/INTERMEDIATE,98.6,0.3,0.6,JOHNSON CITY,031502060003,606
JOHNSON CITY MIDDLE SCHOOL,99.5,0.4,0,JOHNSON CITY,031502060005,605
JOHNSON CITY HS,98.9,0.5,0.5,JOHNSON CITY,031502060006,760
ST JAMES SCHOOL,99,0,1,JOHNSON CITY,031502185486,
CRESCENT ACADEMY,76.3,0,23.7,JOHNSON CITY,031502995612,
AFRICAN RD ES,100,0,0,VESTAL,031601060021,272
CLAYTON AVE ES,99.3,0,0.7,VESTAL,031601060022,297
GLENWOOD ES,98.9,0.4,0.4,VESTAL,031601060023,271
TIOGA HILLS ES,97.5,1.1,1.1,APALACHIN,031601060026,294
VESTAL HILLS ES,99.1,0.6,0,VESTAL,031601060028,329
VESTAL MIDDLE SCHOOL,99.4,0.2,0.2,VESTAL,031601060041,828
VESTAL SHS,99.4,0.4,0.3,VESTAL,031601060051,1100
HILLEL ACADEMY,87,0,0,VESTAL,031601227054,
ROSS CORNERS CHRISTIAN ACADEMY,100,0,0,VESTAL,031601806564,
FLOYD BELL ES,99.6,0,0,KIRKWOOD,031701060002,286
C R WEEKS ES,100,0,0,WINDSOR,031701060003,257
PALMER ELEM/WINDSOR MS,99.7,0,0,WINDSOR,031701060004,634
WINDSOR SHS,99.8,0,0,WINDSOR,031701060007,565
BROOMETIOGA BOCES,97.6,0.9,0.9,BINGHAMTON,039000000000,
WEST VALLEY SCHOOL,99.3,0,0,WEST VALLEY,040204040001,310
ALLEGANYLIMESTONE HS,99.4,0.3,0.3,ALLEGANY,040302060001,353
ALLEGANY ES,99,0,0.4,ALLEGANY,040302060002,498
ALLEGANYLIMESTONE MS,100,0,0,ALLEGANY,040302060004,291
ELLICOTTVILLE ES,98.8,0.4,0.8,ELLICOTTVILLE,040901040001,296
ELLICOTTVILLE MSHS,97.7,0.3,1.3,ELLICOTTVILLE,040901040002,304
FRANKLINVILLE JSHS,100,0,0,FRANKLINVILLE,041101040002,327
FRANKLINVILLE ES,99.5,0,0,FRANKLINVILLE,041101040003,381
HINSDALE CENTRAL SCHOOL,99.8,0,0,HINSDALE,041401040001,442
MOSHER HOLLOW SCHOOL  SUSAN ANDREWS,0,0,100,OLEAN,042301550001,
CATTARAUGUS CAMP US ES,100,0,0,CATTARAUGUS,042302040002,351
CATTARAUGUSLITTLE VALLEY HS,99.4,0,0.7,CATTARAUGUS,042302040003,309
CATTARAUGUSLITTLE VALLEY MS,99.3,0,0.7,CATTARAUGUS,042302040004,273
WASHINGTON WEST ES,98.8,0,0.3,OLEAN,042400010002,349
EAST VIEW ES,99.5,0,0.3,OLEAN,042400010004,399
OLEAN SHS,99.5,0.4,0,OLEAN,042400010013,799
OLEAN JHS,99.6,0.3,0.1,OLEAN,042400010016,672
ARCHBISHOP WALSH HS,100,0,0,OLEAN,042400136448,
SOUTHERN TIER CATHOLIC SCHOOL,99.1,0,0.9,OLEAN,042400139126,
NEW LIFE CHRISTIAN SCHOOL,95.7,0,4.3,OLEAN,042400805651,
GOWANDA ES,98.9,0.2,0.2,GOWANDA,042801060001,432
GOWANDA MS,99.5,0,0.3,GOWANDA,042801060005,397
GOWANDA SHS,99.7,0,0.3,GOWANDA,042801060006,369
ST JOSEPH SCHOOL,93.2,0,6.8,GOWANDA,042801136452,
PORTVILLE ES,99.8,0,0,PORTVILLE,042901040001,553
PORTVILLE JSHS,99.3,0,0.4,PORTVILLE,042901040002,432
PORTVILLE BAPTIST CHRISTIAN SCHOOL,100,0,0,PORTVILLE,042901858658,
CALDWELL SCHOOL SUSAN ANDREWS,0,0,100,OLEAN,043000551234,
RANDOLPH JSHS,99.8,0.2,0,RANDOLPH,043001040002,418
RANDOLPH ES,98.6,0.8,0,RANDOLPH,043001040003,538
AXEVILLE SCHOOL   SUSAN ANDREWS,0,0,100,OLEAN,043001658554,
HARRIS SCHOOL  SUSAN ANDREWS,0,0,100,OLEAN,043001658555,
SEAGER HILL SCHOOL SUSAN ANDREWS,0,0,100,OLEAN,043001658557,
MAPLE ROW SCHOOLSUSAN ANDREWS,0,0,100,OLEAN,043001658559,
CHERRY HILL SCHOOL  SUSAN ANDREWS,0,0,100,OLEAN,043001658560,
GARDNER SCHOOL  SUSAN ANDREWS,0,0,100,OLEAN,043001658561,
PINE VIEW  SUSAN ANDREWS,0,0,100,OLEAN,043001658928,
FLAT IRON  SUSAN ANDREWS,0,0,100,OLEAN,043001658930,
DEER RUN  SUSAN ANDREWS,0,0,95.2,OLEAN,043001658931,
LITTLE RUN SCHOOL SUSAN ANDREWS,0,0,100,OLEAN,043001658932,
GLOVER HILL RD SCHOOL SUSAN ANDREWS,0,0,100,OLEAN,043001658933,
PLEASANT VIEW SCHOOL  SUSAN ANDREWS,0,0,100,OLEAN,043001659295,
CONEWANGO SCHOOL SUSAN ANDREWS,0,0,100,OLEAN,043001659296,
WEST RD SCHOOL  SUSAN ANDREWS,0,0,100,OLEAN,043001659298,
CHAUTAUQUA RD SCHOOL SUSAN ANDREWS,0,0,100,OLEAN,043001659299,
GROVER LANE SCHOOL SUSAN ANDREWS,0,0,100,OLEAN,043001659301,
BENTLEY HILL SCHOOLSUSAN ANDREWS,0,0,100,OLEAN,043001659303,
HOXIE HILL SCHOOLSUSAN ANDREWS,0,0,100,OLEAN,043001659304,
MERCHANT HILL SCHOOL SUSAN ANDREWS,0,0,100,OLEAN,043001659682,
RANDOLPH ACADEMY HOPEVALE CAMPUS,99.4,0,0,RANDOLPH,043011020002,75
SALAMANCA JUNIOR SENIOR HIGH SCHOOL,99.6,0.2,0.2,SALAMANCA,043200050002,551
PROSPECT ES,99.5,0.2,0.2,SALAMANCA,043200050004,507
SENECA ES,99.6,0,0,SALAMANCA,043200050005,266
CENTRAL BAPTIST CHRISTIAN SCHOOL,73.3,0,6.9,YORKSHIRE,043501033010,
DELEVAN ES,99.3,0.5,0.2,DELEVAN,043501060001,441
PIONEER MS,98.3,0,0.6,YORKSHIRE,043501060004,761
ARCADE ES,98.6,0.2,1.2,ARCADE,043501060005,568
PIONEER SHS,99.9,0,0.1,YORKSHIRE,043501060006,754
BOCES CATTALLEG-ERIE-WYOMING,99.8,0.2,0,OLEAN,049000000000,
CASEY PARK ES,99.8,0,0,AUBURN,050100010002,524
GENESEE ST ES,99.5,0,0.3,AUBURN,050100010004,381
HERMAN AVENUE ES,98.5,0.2,0.6,AUBURN,050100010005,477
OWASCO ES,98.4,0,0.7,AUBURN,050100010007,440
WM H SEWARD ES,99.2,0,0.6,AUBURN,050100010008,498
EAST MS,99.8,0,0.2,AUBURN,050100010009,590
AUBURN HS,99.9,0,0.1,AUBURN,050100010013,1324
ST JOSEPH'S SCHOOL,96.6,0.7,1.4,AUBURN,050100169701,
TYBURN ACADEMY,98.6,0,1.4,AUBURN,050100999499,
MONTESSORI SCHOOL OF THE FINGER LAKES,100,0,0,AUBURN,050100999591,
WEEDSPORT JSHS,99.5,0.5,0,WEEDSPORT,050301040002,394
WEEDSPORT ES,99.1,0,0,WEEDSPORT,050301040003,428
HILLSIDE CHILDRENS CENTERFINGERLAKE,97.7,0,0,AUBURN,050301999417,
CATO MERIDIAN ES,99.7,0,0,CATO,050401040001,390
CATO MERIDIAN MS,100,0,0,CATO,050401040002,317
CATO MERIDAN SHS,99.7,0,0,CATO,050401040003,306
SOUTHERN CAYUGA SHS,99,0.3,0.3,POPLAR RIDGE,050701040005,310
SOUTHERN CAYUGA ES,98,0,1.4,AURORA,050701040007,374
PEACHTOWN ES,81,0,19.1,AURORA,050701999254,
AA GATES ES,98.5,0,1.1,PORT BYRON,051101040001,497
DANA L WEST,99.8,0,0.2,PORT BYRON,051101040004,501
CONQUEST PAROCHIAL SCHOOL,79.2,0,20.8,PORT BYRON,051101658562,
CAYUGA MENNONITE SCHOOL,82.5,0,17.5,CAYUGA,051101658563,
MILLARD FILLMORE ES,99.1,0.7,0.2,MORAVIA,051301040001,462
MORAVIA JSHS,100,0,0,MORAVIA,051301040003,507
ANDREW J SMITH ES,100,0,0,UNION SPRINGS,051901040002,184
CAYUGA ES,100,0,0,CAYUGA,051901040003,225
UNION SPRINGS CENTRAL HS,99.8,0,0,UNION SPRINGS,051901040005,440
UNION SPRINGS ACADEMY,97,0,3,UNION SPRINGS,051901425832,
FRONTENAC SCHOOL,100,0,0,UNION SPRINGS,051901427119,
SOUTHWESTERN SHS,99.2,0.4,0.4,JAMESTOWN,060201060003,481
SOUTHWESTERN MS,99.7,0,0.3,JAMESTOWN,060201060006,327
SOUTHWESTERN ES,98.9,0,0.3,JAMESTOWN,060201060007,648
BETH EL BAPTIST CHRISTIAN ACAD,85.9,1.4,7,JAMESTOWN,060201858116,
ROBERT JACKSON ES,97.3,0.2,0.2,FREWSBURG,060301040002,466
FREWSBURG JSHS,99.5,0,0.5,FREWSBURG,060301040004,388
SINCLAIRVILLE ES,99,0.3,0.8,SINCLAIRVILLE,060401040003,447
CASSADAGA VALLEY MIDDLE/HS,99.5,0,0,SINCLAIRVILLE,060401040006,552
CHAUTAUQUA LAKE HS,98.8,1.2,0,MAYVILLE,060503040001,504
CHAUTAUQUA LAKE ES,98.7,0,0.8,MAYVILLE,060503040002,396
BURDICK ROAD SCHOOL,0,0,100,MAYVILLE,060503658575,
PLEASANT VIEW SCHOOL ,0,0,100,MAYVILLE,060503659689,
PINE VALLEY ES,97.9,0.3,1.7,SOUTH DAYTON,060601040002,327
PINE VALLEY CENTRAL JSHS,99,0,1,SOUTH DAYTON,060601040003,317
BENTLEY HILL SCHOOL,0,0,100,MAYVILLE,060601558557,
CALDWELL AMISH SCHOOL,0,0,100,MAYVILLE,060601659292,
PINE VIEW SCHOOL,89.5,0,0,MAYVILLE,060601659293,
CLYMER ES,97.3,0.5,1.8,CLYMER,060701040002,
CLYMER JSHS,99.5,0,0.5,CLYMER,060701040003,457
MAPLE LANE SCHOOL ,60,0,16,MAYVILLE,060701655117,
HIDDEN VALLEY SCHOOL ,44.4,0,14.8,MAYVILLE,060701656109,
CLOVER HILL SCHOOL  ,27.8,0,8.3,MAYVILLE,060701659832,
SCHOOL  3,100,0,0,DUNKIRK,060800010003,238
SCHOOL  4,100,0,0,DUNKIRK,060800010004,232
SCHOOL  5,99.4,0,0,DUNKIRK,060800010005,176
SCHOOL  7,99.6,0,0,DUNKIRK,060800010007,258
DUNKIRK SHS,99.4,0.5,0,DUNKIRK,060800010009,632
DUNKIRK MS,99.2,0.6,0.2,DUNKIRK,060800010010,490
NORTHERN CHAUTAUQUA CATHOLIC SCHOOL,96.9,1.5,0,DUNKIRK,060800139173,
CENTRAL CHRISTIAN ACADEMY SCHOOL,79.6,0,0,DUNKIRK,060800808602,
BEMUS ES,97.9,1,0.7,BEMUS POINT,061001040001,318
MAPLE GROVE JSHS,98.8,0.7,0.3,BEMUS POINT,061001040005,410
HARVEY C FENNER ES,99.2,0.4,0.4,FALCONER,061101040001,244
FALCONER MS,98.6,0.4,0.4,FALCONER,061101040005,
FALCONER SHS,98.5,0.8,0.5,FALCONER,061101040007,662
PAUL B D TEMPLE ES,99,0.4,0.7,KENNEDY,061101040009,335
SILVER CREEK JSHS,100,0,0,SILVER CREEK,061501040001,303
SILVER CREEK MIDDLE SCHOOL,100,0,0,SILVER CREEK,061501040002,244
SILVER CREEK ES,98.1,0,0,SILVER CREEK,061501040003,551
FORESTVILLE ES,99.6,0,0,FORESTVILLE,061503040002,274
FORESTVILLE CENTRAL HS,100,0,0,FORESTVILLE,061503040003,255
PANAMA JSHS,99.3,0.7,0,PANAMA,061601040001,279
PANAMA ES,98.3,0.4,1.3,PANAMA,061601040003,252
CARLYLE C RING ES,99.8,0.2,0,JAMESTOWN,061700010001,465
CLINTON V BUSH ES,98.7,0.3,0.3,JAMESTOWN,061700010003,331
G A PERSELL MS,100,0,0,JAMESTOWN,061700010006,490
MILTON J FLETCHER ES,99.6,0,0.4,JAMESTOWN,061700010007,542
SAMUEL G. LOVE ES,100,0,0,JAMESTOWN,061700010009,342
JEFFERSON JHS,99.6,0.4,0,JAMESTOWN,061700010010,531
ABRAHAM LINCOLN ELEMENTARY SCHOOL,99.6,0.4,0,JAMESTOWN,061700010011,497
WASHINGTON JHS,100,0,0,JAMESTOWN,061700010012,509
JAMESTOWN HS,99.4,0.4,0.1,JAMESTOWN,061700010013,1380
GUSTAVUS ADOLPHUS LEARNING CENTER,82.4,0,0,JAMESTOWN,061700308038,
FREDONIA ES,99,0,0.8,FREDONIA,062201060001,588
FREDONIA MS,98.9,0,1.1,FREDONIA,062201060002,476
FREDONIA HS,99.2,0.6,0.2,FREDONIA,062201060003,499
BROCTON ES + MS,97,1.6,0.2,BROCTON,062301040002,273
BROCTON HS,91.3,8.3,0.5,BROCTON,062301040003,274
RIPLEY CENTRAL SCHOOL,100,0,0,RIPLEY,062401040001,176
SHERMAN ES,92,0,2,SHERMAN,062601040002,225
SHERMAN JSHS,100,0,0,SHERMAN,062601040003,217
LAKEVIEW SCHOOL  ,36.8,2.6,7.9,MAYVILLE,062601658578,
VALLEY VIEW SCHOOL,63,0,0,MAYVILLE,062601658579,
SUNSET VIEW SCHOOL SCHOOL,35.7,0,7.1,MAYVILLE,062601658580,
SNOW RIDGE SCHOOL,0,0,100,MAYVILLE,062601658581,
