ASCENSION SCHOOL,MANHATTAN,99.6,,,,,,3.103E+11
ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,BROOKLYN,98.7,75,http://data.schoolbook.org/school/1088-aspirations-diploma-plus-high-school,23K646,,,
ASSOC FOR  METRO AREA AUTISTIC CHILDREN,MANHATTAN,76.7,,,,,,3.10201E+11
ASTOR COLLEGIATE ACADEMY,BRONX,100,447,http://data.schoolbook.org/school/586-astor-collegiate-academy,11X299,,,
AUGUST MARTIN HIGH SCHOOL,QUEENS,95.2,482,http://data.schoolbook.org/school/1269-august-martin-high-school,27Q400,22,,
AUTOMOTIVE HIGH SCHOOL,BROOKLYN,97.9,333,http://data.schoolbook.org/school/738-automotive-high-school,14K610,,,
AVE MARIA CATHOLIC ACADEMY,QUEENS,70.9,,,,,,3.427E+11
AVENUES: THE WORLD SCHOOL,MANHATTAN,97.9,,,,,,3.10201E+11
AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,QUEENS,99.6,1943,http://data.schoolbook.org/school/1139-aviation-career-technical-education-high-school,24Q610,,,
B'NOT RACHEL HS FOR GIRLS,BROOKLYN,100,,,,,,3.321E+11
BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,QUEENS,99.4,478,http://data.schoolbook.org/school/1405-baccalaureate-school-for-global-education,30Q580,,,
BAIS BROCHO OF KARLIN STOLIN,BROOKLYN,99.8,,,,,,3.315E+11
BAIS ESTHER SCHOOL,BROOKLYN,98.4,,,,,,3.32E+11
BAIS FRUMA,BROOKLYN,94.1,,,,,,3.32E+11
BAIS ISSAC ZUI/KESSER MALKA,BROOKLYN,93.6,,,,,,3.315E+11
BAIS MEIR,BROOKLYN,89.4,,,,,,3.318E+11
BAIS SARAH SCHOOL,BROOKLYN,92.8,,,,,,3.32E+11
BAIS TZIPORAH,BROOKLYN,95.7,,,,,,3.32E+11
BAIS UVI GRIEDING,BROOKLYN,80.6,,,,,,3.32E+11
BAIS YAAKOV ACADEMY,BROOKLYN,99.1,,,,,,3.321E+11
BAIS YAAKOV ACADEMY FOR GIRLS,QUEENS,97.9,,,,,,3.428E+11
BAIS YAAKOV DKHAL ADAS YERIEM,BROOKLYN,94.5,,,,,,3.314E+11
BAIS YAAKOV FAIGEH SHONBERGER OF ADAS YEREIM,BROOKLYN,100,,,,,,3.315E+11
BAIS YAAKOV OF GUR HIGH SCHOOL,BROOKLYN,98.9,,,,,,3.32E+11
BAIS YAAKOV OF MIDWOOD,BROOKLYN,100,,,,,,3.322E+11
BAIS YAAKOV OZ VEHODAR,BROOKLYN,68.6,,,,,,3.321E+11
BAIS YAKOV OF 18TH AVE,BROOKLYN,99.6,,,,,,3.32E+11
BAIS YITZCHAK SCHOOL,BROOKLYN,80.8,,,,,,3.32E+11
"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",MANHATTAN,97.4,154,http://data.schoolbook.org/school/109-ballet-tech-nyc-public-school-for-dance,02M442,,,
BANANA KELLY HIGH SCHOOL,BRONX,98.4,250,http://data.schoolbook.org/school/389-banana-kelly-high-school,08X530,,,
BANK ST SCH-CHILDREN,MANHATTAN,95.5,,,,,,3.10301E+11
BARD HIGH SCHOOL EARLY COLLEGE,MANHATTAN,98.1,533,http://data.schoolbook.org/school/30-bard-high-school-early-college,01M696,,,
BARD HIGH SCHOOL EARLY COLLEGE QUEENS,QUEENS,99.2,616,http://data.schoolbook.org/school/1128-bard-high-school-early-college-ii,24Q299,,,
BARKAI YESHIVA,BROOKLYN,100,,,,,,3.321E+11
BARUCH COLLEGE CAMPUS HIGH SCHOOL,MANHATTAN,99.5,439,http://data.schoolbook.org/school/92-baruch-college-campus-high-school,02M411,,,
BATALLION CHRISTIAN ACADEMY,BROOKLYN,86.7,,,,,,3.31801E+11
BATTERY PARK CITY SCHOOL,MANHATTAN,97.5,854,http://data.schoolbook.org/school/67-battery-park-city-school,02M276,14,,
BAY RIDGE CHRISTIAN ACADEMY,BROOKLYN,94.6,,,,,,3.32001E+11
BAYCHESTER ACADEMY,BRONX,96.8,440,http://data.schoolbook.org/school/569-baychester-academy,11X169,11,,
BAYCHESTER MIDDLE SCHOOL,BRONX,91.4,292,http://data.schoolbook.org/school/3483-baychester-middle-school,11X532,23,,
BAYRIDGE PREP SCHOOL,BROOKLYN,98.7,,,,,,3.32001E+11
BAYSIDE HIGH SCHOOL,QUEENS,99.9,3036,http://data.schoolbook.org/school/1214-bayside-high-school,26Q495,,,
BEACON HIGH SCHOOL,MANHATTAN,98.1,1270,http://data.schoolbook.org/school/178-beacon-high-school,03M479,,15,
BEDFORD ACADEMY HIGH SCHOOL,BROOKLYN,94.2,359,http://data.schoolbook.org/school/693-bedford-academy-high-school,13K595,,,
BEDFORD PARK ELEMENTARY SCHOOL,NEW YORK,97.3,113,http://data.schoolbook.org/school/4237-bedford-park-elementary-school,10X077,,,
BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL,BROOKLYN,100,62,http://data.schoolbook.org/school/691-bedford-stuyvesant-preparatory-high-school,13K575,,,
BEER HAGOLAH INSTITUTE - ELEMENTARY,BROOKLYN,98,,,,,,3.319E+11
BEER HAGOLAH INSTITUTE-HS,BROOKLYN,99.3,,,,,,3.319E+11
BEIKVEI HATZOIN,BROOKLYN,95.1,,,,,,3.314E+11
BEIT RABBAN SCHOOL,MANHATTAN,73.2,,,,,,3.103E+11
BELL ACADEMY,QUEENS,99.2,372,http://data.schoolbook.org/school/1177-bell-academy,25Q294,,,
BELMONT PREPARATORY HIGH SCHOOL,BRONX,99.5,389,http://data.schoolbook.org/school/530-belmont-preparatory-high-school,10X434,,,
BENJAMIN BANNEKER ACADEMY,BROOKLYN,99.1,885,http://data.schoolbook.org/school/697-benjamin-banneker-academy,13K670,,,
BENJAMIN FRANKLIN HIGH SCHOOL FOR FINANCE & INFORMATION TECHNOLOGY,QUEENS,80.5,118,http://data.schoolbook.org/school/4282-benjamin-franklin-high-school-for-finance-information-technology,29Q313,12,,
BENJAMIN N. CARDOZO HIGH SCHOOL,BAYSIDE,99.3,3328,http://data.schoolbook.org/school/1211-benjamin-n-cardozo-high-school,26Q415,14,,
BERKELEY-CARROLL ST SCHOOL,BROOKLYN,99.2,,,,,,3.31301E+11
BET YAAKOV ATERET TORAH,BROOKLYN,97.2,,,,,,3.321E+11
BET YAKOV ATERET TORAH H.S.,BROOKLYN,98.4,,,,,,3.321E+11
BETH CHANA SCHOOL AND HS FOR GIRLS,BROOKLYN,95.3,,,,,,3.314E+11
BETH JACOB DAY SCHOOL,BROOKLYN,99.6,,,,,,3.32E+11
BETH JACOB ELEM SCHOOL,MANHATTAN,98.8,,,,,,3.101E+11
BETH JACOB H S,BROOKLYN,97.1,,,,,,3.32E+11
BETH JACOB OF BORO PARK,BROOKLYN,99.8,,,,,,3.32E+11
BETH RACHEL SCH-BORO PARK,BROOKLYN,99.6,,,,,,3.32E+11
BETH RACHEL SCHOOL FOR GIRLS,BROOKLYN,96.2,,,,,,3.314E+11
BETH RIVKA HIGH SCHOOL,BROOKLYN,96.5,,,,,,3.317E+11
BETH RIVKAH SCHOOL,BROOKLYN,94.9,,,,,,3.317E+11
BETHEL CHRISTIAN LEARNING CTR,QUEENS,98.3,,,,,,3.42901E+11
BETHEL ELEM SCHOOL,BROOKLYN,97.6,,,,,,3.313E+11
BIAS YAAKOV D CHASSIDEI GUR,BROOKLYN,99.6,,,,,,3.32E+11
BIBLE SPEAKS CHURCH OF CHRIST ACADEMY (THE),BROOKLYN,95.2,,,,,,3.31801E+11
BIG APPLE ACADEMY,BROOKLYN,100,,,,,,3.321E+11
"BIRCH FAMILY SERVICES, MANHATTAN EARLY CLDH CENTER",MANHATTAN,100,,,,,,3.102E+11
BIRCH WATHEN LENOX SCHOOL,MANHATTAN,100,,,,,,3.10201E+11
BISHOP FORD CENT CATH H S,BROOKLYN,99.6,,,,,,3.315E+11
BISHOP KEARNEY H S,BROOKLYN,100,,,,,,3.321E+11
BISHOP LOUGHLIN MEMORIAL H S,BROOKLYN,99.9,,,,,,3.313E+11
BISHOP PATRICK V AHERN HIGH SCHOOL,STATEN ISLAND,100,,,,,,3.531E+11
BLESSED SACRAMENT SCHOOL,MANHATTAN,81.2,,,,,,3.103E+11
BLESSED SACRAMENT SCHOOL,BROOKLYN,86.1,,,,,,3.319E+11
BLESSED SACRAMENT SCHOOL,STATEN ISLAND,100,,,,,,3.531E+11
BLOCK INSTITUTE,BROOKLYN,96.4,,,,,,3.32101E+11
BLUEPRINT MIDDLE SCHOOL,BRONX,97.4,310,http://data.schoolbook.org/school/4170-blueprint-middle-school,08X562,,,
BNOS BAIS YAAKOV OF FAR ROCKAWAY,QUEENS,90.8,,,,,,3.427E+11
BNOS CHAYIL,BROOKLYN,97.8,,,,,,3.314E+11
BNOS CHOMESH ACADEMY,BROOKLYN,95.5,,,,,,3.317E+11
BNOS ISRAEL SCHOOL FOR GIRLS,BROOKLYN,99.6,,,,,,3.321E+11
BNOS MALKA ACADEMY,QUEENS,92.6,,,,,,3.428E+11
BNOS MARGULIA VIZNITZ,BROOKLYN,98.7,,,,,,3.315E+11
BNOS MENACHEM INC,BROOKLYN,96.9,,,,,,3.317E+11
BNOS SQUARE OF WILLIAMSBURG,BROOKLYN,97.6,,,,,,3.314E+11
BNOS YAKOV,BROOKLYN,98.8,,,,,,3.32E+11
BNOS YAKOV SCHOOL FOR GIRLS-(ADMINISTRATIVE SITE),BROOKLYN,97.2,,,,,,3.314E+11
BNOS YERUSHALAYIM,BROOKLYN,97.3,,,,,,3.32E+11
BNOS ZION OF BOBOV,BROOKLYN,98.7,,,,,,3.32E+11
BNOT CHAYA ACADEMY,BROOKLYN,76.2,,,,,,3.321E+11
BOBOVER YESHIVA BNEI ZION,BROOKLYN,97.7,,,,,,3.32E+11
BONIM LAMOKOM,BROOKLYN,100,,,,,,3.322E+11
BOYS AND GIRLS HIGH SCHOOL,BROOKLYN,99.8,446,http://data.schoolbook.org/school/803-boys-and-girls-high-school,16K455,,,
BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL,MANHATTAN,100,71,http://data.schoolbook.org/school/251-bread-roses-integrated-arts-high-school,05M685,,,
BREARLEY SCHOOL (THE),MANHATTAN,99.9,,,,,,3.10201E+11
BRIGHTER CHOICE COMMUNITY SCHOOL,BROOKLYN,99.4,157,http://data.schoolbook.org/school/808-brighter-choice-community-school,16K627,,,
BRITISH INTERNATIONAL SCHOOL OF NY,MANHATTAN,98.6,,,,,,3.10201E+11
BRONX ACADEMY FOR SOFTWARE ENGINEERING (BASE),BRONX,97.8,227,http://data.schoolbook.org/school/4238-bronx-academy-for-software-engineering-base,10X264,,,
BRONX ACADEMY OF HEALTH CAREERS,BRONX,97.4,423,http://data.schoolbook.org/school/585-bronx-academy-of-health-careers,11X290,,,
BRONX AEROSPACE HIGH SCHOOL,BRONX,96.7,367,http://data.schoolbook.org/school/601-bronx-aerospace-high-school,11X545,
BRONX ALLIANCE MIDDLE SCHOOL,BRONX,96,202,http://data.schoolbook.org/school/4241-bronx-alliance-middle-school,11X355,
BRONX ARENA HIGH SCHOOL,BRONX,98.8,80,http://data.schoolbook.org/school/3478-bronx-arena-high-school,08X537,
BRONX BRIDGES HIGH SCHOOL,BRONX,94.1,256,http://data.schoolbook.org/school/384-bronx-bridges-high-school,08X432,
BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,BRONX,98.6,294,http://data.schoolbook.org/school/645-bronx-career-and-college-preparatory-high-school,12X479,
BRONX CENTER FOR SCIENCE AND MATHEMATICS,BRONX,99.1,437,http://data.schoolbook.org/school/435-bronx-center-for-science-and-mathematics,09X260,
BRONX COLLABORATIVE HIGH SCHOOL,BRONX,92.2,218,http://data.schoolbook.org/school/4239-bronx-collaborative-high-school,10X351,
BRONX COLLEGIATE ACADEMY,BRONX,95.6,343,http://data.schoolbook.org/school/425-bronx-expeditionary-learning-high-school,09X227,11
BRONX COMMUNITY HIGH SCHOOL,BRONX,100,75,http://data.schoolbook.org/school/381-bronx-community-high-school,08X377,
BRONX COMPASS HIGH SCHOOL,BRONX,94.8,326,http://data.schoolbook.org/school/4169-bronx-compass-high-school,08X561,11
BRONX DANCE ACADEMY SCHOOL,BRONX,100,267,http://data.schoolbook.org/school/510-bronx-dance-academy-school,10X308,
BRONX DELTA SCHOOL,BRONX,100,79,http://data.schoolbook.org/school/4231-bronx-delta-school,08X392,
BRONX DESIGN AND CONSTRUCTION ACADEMY,BRONX,99.8,504,http://data.schoolbook.org/school/3477-bronx-design-and-construction-academy,07X522,
BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING,BRONX,97.1,487,http://data.schoolbook.org/school/442-bronx-early-college-academy-for-teaching-learning,09X324,
BRONX ENGINEERING AND TECHNOLOGY ACADEMY,BRONX,97.2,361,http://data.schoolbook.org/school/494-bronx-engineering-and-technology-academy,10X213,
BRONX ENVISION ACADEMY,BRONX,97.2,324,http://data.schoolbook.org/school/3484-bronx-envision-academy,12X511,
BRONX GREEN MIDDLE SCHOOL,BRONX,95.9,413,http://data.schoolbook.org/school/588-bronx-green-middle-school,11X326,
BRONX GUILD,BRONX,99.2,254,http://data.schoolbook.org/school/386-bronx-guild,08X452,
BRONX HAVEN HIGH SCHOOL,BRONX,98.5,67,http://data.schoolbook.org/school/327-bronx-haven-high-school,07X381,
BRONX HEALTH SCIENCES HIGH SCHOOL,BRONX,98.3,350,http://data.schoolbook.org/school/576-bronx-health-sciences-high-school,11X249,
BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,BRONX,97,366,http://data.schoolbook.org/school/533-bronx-high-school-for-law-and-community-service,10X439,
BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,BRONX,99.6,445,http://data.schoolbook.org/school/452-bronx-high-school-for-medical-science,09X413,
BRONX HIGH SCHOOL FOR THE VISUAL ARTS,BRONX,98.2,440,http://data.schoolbook.org/school/591-bronx-high-school-for-the-visual-arts,11X418,
BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS,BRONX,93.7,350,http://data.schoolbook.org/school/577-bronx-high-school-for-writing-and-communication-arts,11X253,12
BRONX HIGH SCHOOL OF BUSINESS,BRONX,91,256,http://data.schoolbook.org/school/451-bronx-high-school-of-business,09X412,22
BRONX HIGH SCHOOL OF SCIENCE,BRONX,99.8,3004,http://data.schoolbook.org/school/536-bronx-high-school-of-science,10X445,
BRONX INTERNATIONAL HIGH SCHOOL,BRONX,72.4,333,http://data.schoolbook.org/school/449-bronx-international-high-school,09X403,92
BRONX LAB SCHOOL,BRONX,99.5,411,http://data.schoolbook.org/school/578-bronx-lab-school,11X265,
BRONX LATIN,BRONX,99,524,http://data.schoolbook.org/school/629-bronx-latin,12X267,
BRONX LEADERSHIP ACADEMY HIGH SCHOOL,BRONX,97.7,619,http://data.schoolbook.org/school/460-bronx-leadership-academy-high-school,09X525,11
BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,BRONX,98.8,423,http://data.schoolbook.org/school/334-bronx-leadership-academy-ii-high-school,07X527,
BRONX LITTLE SCHOOL,BRONX,99.7,363,http://data.schoolbook.org/school/652-bronx-little-school,12X691,
BRONX PARK MIDDLE SCHOOL,BRONX,99,406,http://data.schoolbook.org/school/4175-bronx-park-middle-school,11X556,,,
BRONX REGIONAL HIGH SCHOOL,BRONX,98.9,90,http://data.schoolbook.org/school/646-bronx-regional-high-school,12X480,,,
BRONX RIVER HIGH SCHOOL,BRONX,98,202,http://data.schoolbook.org/school/4230-bronx-river-high-school,08X349,,,
"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",BRONX,99.5,742,http://data.schoolbook.org/school/458-bronx-school-for-law-government-and-justice,09X505,,,
BRONX SCHOOL OF LAW AND FINANCE,BRONX,95.7,371,http://data.schoolbook.org/school/506-bronx-school-of-law-and-finance,10X284,,,
BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,BRONX,99.8,531,http://data.schoolbook.org/school/363-bronx-studio-school-for-writers-and-artists,08X269,,,
BRONX THEATRE HIGH SCHOOL,BRONX,99.2,386,http://data.schoolbook.org/school/541-bronx-theatre-high-school,10X546,,,
BRONX WRITING ACADEMY,BRONX,92.2,473,http://data.schoolbook.org/school/441-bronx-writing-academy,09X323,28,,
BRONX-MANHATTAN SDA SCHOOL,BRONX,86.6,,,,,,3.207E+11
BRONXDALE HIGH SCHOOL,BRONX,98.2,394,http://data.schoolbook.org/school/3480-bronxdale-high-school,11X508,,,
BROOKLYN ACADEMY HIGH SCHOOL,BROOKLYN,98.8,82,http://data.schoolbook.org/school/689-brooklyn-academy-high-school,13K553,,,
BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,BROOKLYN,97.8,413,http://data.schoolbook.org/school/854-brooklyn-academy-of-science-and-the-environment,17K547,,,
BROOKLYN AMITY SCHOOL,BROOKLYN,94.9,,,,,,3.32101E+11
BROOKLYN ARBOR ELEMENTARY SCHOOL,BROOKLYN,96.1,439,http://data.schoolbook.org/school/4179-brooklyn-arbor-elementary-school,14K414,15,,
BROOKLYN ARTS AND SCIENCE ELEMENTARY SCHOOL,BROOKLYN,98.8,330,http://data.schoolbook.org/school/4181-brooklyn-arts-and-science-elementary-school,17K705,,,
BROOKLYN AUTISM CENTER ACADEMY,BROOKLYN,92.3,,,,,,3.31301E+11
BROOKLYN BRIDGE ACADEMY,BROOKLYN,100,81,http://data.schoolbook.org/school/885-brooklyn-bridge-academy,18K578,,,
BROOKLYN BROWNSTONE SCHOOL,BROOKLYN,96.9,223,http://data.schoolbook.org/school/809-brooklyn-brownstone-school,16K628,,,
BROOKLYN COLLEGE ACADEMY,BROOKLYN,96,595,http://data.schoolbook.org/school/1063-brooklyn-college-academy,22K555,,,
BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,BROOKLYN,98.4,304,http://data.schoolbook.org/school/1079-brooklyn-collegiate-a-college-board-school,23K493,,,
"BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA",BROOKLYN,97.2,362,http://data.schoolbook.org/school/680-brooklyn-community-high-school-of-communication-arts-and-media,13K412,,,
BROOKLYN DEMOCRACY ACADEMY,BROOKLYN,97,67,http://data.schoolbook.org/school/1085-brooklyn-democracy-academy,23K643,,,
BROOKLYN ENVIRONMENTAL EXPLORATION SCHOOL (BEES),BROOKLYN,98.8,86,http://data.schoolbook.org/school/4263-brooklyn-environmental-exploration-school-bees,23K664,,,
BROOKLYN FREE SCHOOL,BROOKLYN,61.8,,,,,,3.31301E+11
BROOKLYN FRIENDS SCHOOL,BROOKLYN,95.4,,,,,,3.31301E+11
BROOKLYN FRONTIERS HIGH SCHOOL,BROOKLYN,100,109,http://data.schoolbook.org/school/3488-brooklyn-frontiers-high-school,15K423,,,
BROOKLYN GARDENS ELEMENTARY SCHOOL,BROOKLYN,99.1,235,http://data.schoolbook.org/school/4253-brooklyn-gardens-elementary-school,19K557,,,
BROOKLYN GENERATION SCHOOL,BROOKLYN,97.5,237,http://data.schoolbook.org/school/881-brooklyn-generation-school,18K566,,,
